Age,BusinessTravel,DailyRate,Department,DistanceFemaleroMaleHoMalee,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolveMaleent,JobSatisfaction,MartialStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisFemaleaction,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
31,Travel_Femalerequently,1178,Sales,38,3,123,19680,15744,Research Scientist,16,Technical Degree,1,44-8081862,3,Female,1,1,Married,8,Yes,No,21,1,3,80,2,2,2,3,3,2,13,7,No
53,Travel_Femalerequently,1220,Research & DevelopMaleent,8,5,138,22080,17664,Research Scientist,20,Medical,1,12-3115169,3,Male,2,2,Single,6,Yes,No,11,4,1,80,3,39,1,4,30,6,10,2,No
27,Travel_Rarely,1374,Sales,40,4,133,21280,17024,Research Scientist,18,Human Resources,1,05-1655777,2,Female,2,3,Married,3,Yes,No,15,1,4,80,3,5,6,1,24,20,13,12,No
19,Travel_Rarely,1118,Research & DevelopMaleent,3,3,85,13600,10880,Sales Executive,14,Technical Degree,1,55-8853898,1,Female,1,4,Married,2,Yes,No,12,2,4,80,1,14,0,4,22,12,10,8,No
30,Travel_Femalerequently,1473,Human Resources,7,5,82,13120,10496,Manager,16,Human Resources,1,70-6834801,2,Male,2,1,Married,2,Yes,No,11,2,2,80,3,10,6,2,14,11,3,8,Yes
48,Travel_Rarely,309,Human Resources,27,4,93,14880,11904,Manufacturing Director,16,Other,1,57-5570429,4,Male,2,3,Single,2,Yes,No,19,4,3,80,2,1,6,2,34,5,11,7,No
25,Travel_Femalerequently,820,Sales,35,2,121,19360,15488,Manufacturing Director,14,Medical,1,35-3671784,3,Female,4,3,Single,7,Yes,No,25,3,2,80,0,39,4,3,33,7,0,6,Yes
58,Travel_Rarely,820,Sales,34,5,77,12320,9856,Research Scientist,20,Life Sciences ,1,17-2634831,3,Female,2,2,Married,3,Yes,No,24,3,3,80,2,15,6,4,14,9,11,1,Yes
23,Non-Travel,103,Research & DevelopMaleent,7,1,70,11200,8960,Human Resources,14,Sales,1,75-4055910,4,Female,2,4,Single,1,Yes,No,17,3,4,80,1,19,2,4,23,11,8,17,No
29,Non-Travel,642,Sales,36,5,126,20160,16128,Manufacturing Director,14,Life Sciences ,1,00-9574578,4,Female,2,1,Married,1,Yes,No,16,2,2,80,2,18,1,4,9,13,10,16,No
22,Travel_Femalerequently,1314,Sales,46,4,102,16320,13056,Manufacturing Director,16,Technical Degree,1,68-9915806,2,Male,4,4,Single,2,Yes,No,18,3,4,80,3,20,0,1,11,3,9,3,No
40,Travel_Rarely,932,Sales,5,3,106,16960,13568,Research Scientist,18,Life Sciences ,1,64-5430750,1,Female,3,3,Single,6,Yes,No,22,2,2,80,2,33,4,3,38,20,12,17,Yes
51,Travel_Femalerequently,943,Human Resources,11,3,91,14560,11648,Healthcare Representative,16,Medical,1,60-8060667,1,Male,3,1,Single,7,Yes,No,14,2,1,80,1,12,6,2,26,4,15,7,Yes
43,Travel_Rarely,575,Human Resources,13,5,96,15360,12288,Manager,14,Human Resources,1,92-3542587,2,Male,3,2,Single,2,Yes,No,10,2,2,80,3,37,1,4,23,12,0,8,Yes
30,Non-Travel,476,Sales,37,1,65,10400,8320,Sales Representative,16,Life Sciences ,1,95-0749338,3,Female,1,2,Single,6,Yes,No,19,3,4,80,1,29,0,3,14,10,7,5,No
46,Travel_Femalerequently,515,Human Resources,47,1,138,22080,17664,Human Resources,14,Human Resources,1,04-9537153,1,Male,3,2,Single,7,Yes,No,18,3,1,80,1,14,0,1,33,6,2,15,Yes
20,Non-Travel,453,Sales,33,1,39,6240,4992,Sales Representative,16,Medical,1,25-9247771,4,Female,2,3,Married,6,Yes,No,22,3,2,80,1,27,2,1,20,3,14,10,No
56,Travel_Rarely,633,Sales,23,5,116,18560,14848,Manufacturing Director,14,Human Resources,1,78-7687168,1,Male,4,1,Married,7,Yes,No,25,3,3,80,2,29,6,1,2,9,5,6,No
59,Non-Travel,215,Human Resources,9,3,136,21760,17408,Manager,18,Human Resources,1,02-1169824,3,Male,3,2,Married,3,Yes,No,15,1,4,80,1,7,3,4,9,11,12,15,No
29,Travel_Femalerequently,765,Research & DevelopMaleent,7,4,100,16000,12800,Sales Representative,18,Human Resources,1,15-3519039,3,Male,4,3,Married,6,Yes,No,16,1,2,80,3,2,4,4,4,11,9,0,Yes
31,Non-Travel,1140,Research & DevelopMaleent,29,5,71,11360,9088,Research Director,20,Other,1,13-5351452,1,Female,3,4,Married,7,Yes,No,18,1,1,80,3,15,4,2,18,17,11,0,No
40,Travel_Femalerequently,502,Research & DevelopMaleent,15,3,144,23040,18432,Manufacturing Director,14,Sales,1,37-6181947,2,Male,4,2,Married,4,Yes,No,17,3,2,80,1,14,6,3,27,8,5,12,No
25,Travel_Rarely,1378,Research & DevelopMaleent,7,2,129,20640,16512,Sales Executive,16,Sales,1,97-6601461,1,Male,4,4,Married,1,Yes,No,10,2,2,80,0,31,4,1,22,19,2,14,Yes
45,Travel_Femalerequently,538,Sales,47,4,47,7520,6016,Laboratory Technician,16,Life Sciences ,1,43-8590907,4,Female,1,1,Single,0,Yes,No,22,3,4,80,2,26,2,1,37,5,0,12,No
26,Travel_Rarely,1132,Research & DevelopMaleent,27,5,87,13920,11136,Research Director,18,Sales,1,12-8594679,1,Male,1,1,Single,4,Yes,No,16,3,1,80,2,30,2,4,25,7,10,8,Yes
38,Travel_Rarely,143,Human Resources,1,5,33,5280,4224,Research Director,18,Sales,1,84-6821294,3,Female,4,3,Single,4,Yes,No,21,3,4,80,3,40,3,4,35,15,1,5,No
