Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
39,Non-Travel,1224,Research & Development,12,3,71,Human Resources,14,Human Resources,1,68-8265567,3,Male,4,4,Single,9088,11360,8,Yes,No,15,3,4,80,2,3,0,4,14,7,15,7,No
55,Travel_Frequently,655,Sales,4,5,141,Manufacturing Director,16,Human Resources,1,42-1433594,3,Female,2,4,Single,18048,22560,3,Yes,No,14,4,2,80,2,16,2,1,34,12,12,12,Yes
24,Non-Travel,245,Human Resources,19,4,53,Healthcare Representative,12,Sales,1,70-8499005,4,Male,3,1,Married,6784,8480,2,Yes,No,13,3,4,80,3,15,0,4,25,5,10,16,Yes
45,Non-Travel,1465,Research & Development,49,3,69,Healthcare Representative,12,Other,1,89-8606373,3,Female,1,4,Single,8832,11040,7,Yes,No,24,2,1,80,2,18,5,2,17,13,10,7,No
50,Travel_Frequently,475,Sales,45,1,72,Human Resources,16,Sales,1,67-1579180,4,Male,3,3,Married,9216,11520,2,Yes,No,16,3,3,80,0,16,5,4,13,17,10,3,Yes
42,Non-Travel,1079,Research & Development,15,4,58,Sales Representative,12,Medical,1,15-9560286,4,Male,1,2,Single,7424,9280,6,Yes,No,25,2,1,80,2,0,3,1,10,4,3,12,No
44,Travel_Frequently,803,Human Resources,36,5,97,Sales Executive,16,Human Resources,1,31-5251085,4,Female,1,4,Married,12416,15520,7,Yes,No,12,1,1,80,3,11,2,3,3,10,11,13,Yes
29,Travel_Frequently,493,Research & Development,27,1,130,Laboratory Technician,14,Medical,1,44-2197056,1,Male,2,2,Married,16640,20800,5,Yes,No,12,1,3,80,0,20,5,4,25,13,5,11,No
35,Travel_Frequently,1086,Sales,6,2,109,Manufacturing Director,16,Technical Degree,1,89-5179681,3,Female,1,3,Married,13952,17440,3,Yes,No,15,1,3,80,1,32,5,4,35,20,15,12,No
40,Travel_Frequently,1119,Sales,4,2,111,Manufacturing Director,14,Medical,1,63-4675760,4,Male,4,4,Single,14208,17760,2,Yes,No,22,1,4,80,1,23,4,3,37,10,15,16,Yes
