Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
43,Travel_Rarely,1442,Human Resources,27,2,33,5280,4224,Human Resources,14,Technical Degree,1,15-7241702,4,Female,2,1,Single,6,Yes,No,10,3,4,80,0,21,6,3,29,16,11,4,No
49,Travel_Frequently,658,Human Resources,38,3,137,21920,17536,Research Director,20,Human Resources,1,41-0320244,1,Female,1,2,Married,1,Yes,No,15,2,4,80,1,20,5,1,28,20,5,12,Yes
41,Non-Travel,179,Research & Development,2,5,80,12800,10240,Research Director,18,Other,1,78-4676601,1,Male,4,4,Single,2,Yes,No,22,1,2,80,2,16,5,1,7,5,15,1,Yes
45,Travel_Rarely,1310,Human Resources,23,4,147,23520,18816,Manager,16,Human Resources,1,37-1473715,3,Male,2,4,Single,8,Yes,No,14,3,4,80,2,29,1,3,14,6,7,14,No
27,Travel_Rarely,1108,Research & Development,46,2,69,11040,8832,Human Resources,16,Sales,1,43-0903242,1,Female,3,4,Married,7,Yes,No,11,2,2,80,0,26,6,3,17,2,4,13,Yes
53,Travel_Frequently,1243,Human Resources,9,4,135,21600,17280,Research Scientist,20,Human Resources,1,12-4968221,1,Male,4,2,Married,4,Yes,No,20,2,4,80,3,21,2,1,32,7,3,13,No
60,Non-Travel,621,Research & Development,26,4,103,16480,13184,Manager,16,Other,1,71-0647108,3,Male,3,4,Married,0,Yes,No,15,2,3,80,3,4,2,2,39,20,13,8,No
18,Non-Travel,791,Human Resources,49,4,135,21600,17280,Research Director,20,Other,1,18-8929183,3,Female,4,4,Single,2,Yes,No,23,1,1,80,2,5,0,3,27,3,11,0,No
56,Non-Travel,1312,Sales,34,3,57,9120,7296,Manufacturing Director,14,Life Sciences,1,47-3192653,1,Male,4,4,Single,1,Yes,No,21,2,3,80,2,38,4,3,17,6,13,17,No
18,Non-Travel,753,Research & Development,49,3,145,23200,18560,Research Scientist,20,Sales,1,05-3863577,1,Male,1,4,Married,1,Yes,No,22,3,3,80,2,4,5,2,5,20,5,0,No
