Age,BusinessTravel,DailyRate,Deparment,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolveMaleent,JobSatisfaction,MartialStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisFemaleaction,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
53,Non-Travel,1222,Research & DevelopMaleent,1,5,90,14400,11520,Manager,16,Technical Degree,1,48-3257938,3,Male,3,4,Single,4,Yes,No,15,1,3,80,2,1,6,4,15,2,14,17,Yes
28,Travel_Rarely,151,Sales,38,3,67,10720,8576,Sales Representative,16,Technical Degree,1,91-8486028,2,Male,3,3,Married,6,Yes,No,24,4,1,80,2,10,5,3,29,1,6,6,No
22,Non-Travel,258,Human Resources,15,5,80,12800,10240,Manager,16,Medical,1,90-1072216,1,Male,4,2,Married,8,Yes,No,12,2,1,80,2,32,5,2,11,4,12,15,No
27,Non-Travel,1462,Human Resources,46,3,100,16000,12800,Manager,14,Technical Degree,1,07-5902382,4,Female,1,2,Married,4,Yes,No,25,1,3,80,2,28,5,3,21,16,5,0,Yes
58,Travel_Femalerequently,664,Research & DevelopMaleent,36,1,72,11520,9216,Healthcare Representative,14,Other,1,70-5293163,1,Female,1,3,Single,1,Yes,No,20,3,2,80,0,14,6,2,9,10,2,7,Yes
23,Travel_Femalerequently,213,Human Resources,50,2,89,14240,11392,Research Director,20,Life Sciences,1,43-8578751,4,Female,3,2,Single,2,Yes,No,13,1,1,80,1,25,6,2,17,19,4,17,Yes
28,Non-Travel,179,Research & DevelopMaleent,48,1,39,6240,4992,Healthcare Representative,16,Sales,1,44-3899549,1,Female,1,2,Married,8,Yes,No,19,2,1,80,1,4,3,1,29,1,7,9,No
30,Travel_Rarely,1367,Human Resources,18,3,126,20160,16128,Research Scientist,20,Other,1,81-2435501,4,Male,3,2,Married,7,Yes,No,23,4,3,80,2,19,3,4,31,19,5,9,No
47,Travel_Femalerequently,754,Research & DevelopMaleent,41,3,108,17280,13824,MaleanuFemaleacturing Director,16,Other,1,38-3667897,2,Female,2,2,Married,1,Yes,No,23,1,2,80,2,33,4,2,13,11,10,2,Yes
57,Travel_Femalerequently,1138,Human Resources,31,4,61,9760,7808,Laboratory Technician,14,Other,1,68-8032768,4,Male,1,1,Single,3,Yes,No,16,2,3,80,3,23,2,2,30,16,14,1,Yes
49,Non-Travel,327,Sales,43,3,105,16800,13440,Research Director,18,Other,1,72-0153576,3,Male,1,1,Single,7,Yes,No,12,2,4,80,1,5,2,2,35,0,13,1,No
40,Non-Travel,362,Human Resources,9,1,52,8320,6656,Sales Representative,12,Other,1,58-8719356,3,Female,1,3,Single,7,Yes,No,11,1,2,80,1,5,6,1,39,0,4,3,No
21,Travel_Femalerequently,1094,Research & DevelopMaleent,2,2,132,21120,16896,Sales Executive,18,Technical Degree,1,80-6835313,3,Female,2,2,Married,2,Yes,No,19,4,2,80,0,34,1,3,1,17,8,17,Yes
19,Travel_Femalerequently,204,Sales,49,3,39,6240,4992,Laboratory Technician,18,Life Sciences,1,47-6789006,1,Male,2,3,Single,2,Yes,No,23,1,1,80,1,17,6,1,15,10,6,1,Yes
53,Travel_Femalerequently,1191,Human Resources,49,2,130,20800,16640,Research Director,20,Life Sciences,1,16-3259191,3,Male,1,4,Single,1,Yes,No,23,3,1,80,0,5,5,1,30,6,10,8,Yes
23,Travel_Rarely,1128,Sales,44,2,56,8960,7168,Sales Representative,12,Other,1,62-0344515,1,Male,4,1,Single,8,Yes,No,18,2,4,80,1,12,3,1,6,6,0,8,No
